threshold,accuracy,abnormal_precision,abnormal_recall,abnormal_f1,specificity,npv,tp,tn,fp,fn,threshold_name,subset
0.3499999999999999,0.5714285714285714,0.5328947368421053,0.8901098901098901,0.6666666666666666,0.2755102040816326,0.7297297297297297,81,27,71,10,selected,full_val
0.3499999999999999,0.4857142857142857,0.4666666666666667,0.875,0.6086956521739131,0.15789473684210525,0.6,42,9,48,6,selected,complete_position_val
0.2,0.49206349206349204,0.4864864864864865,0.989010989010989,0.6521739130434783,0.030612244897959183,0.75,90,3,95,1,fixed_0.20,full_val
0.2,0.45714285714285713,0.45714285714285713,1.0,0.6274509803921569,0.0,0.0,48,0,57,0,fixed_0.20,complete_position_val
0.3,0.5555555555555556,0.5209580838323353,0.9560439560439561,0.6744186046511628,0.1836734693877551,0.8181818181818182,87,18,80,4,fixed_0.30,full_val
0.3,0.4666666666666667,0.46,0.9583333333333334,0.6216216216216216,0.05263157894736842,0.6,46,3,54,2,fixed_0.30,complete_position_val
0.4,0.6190476190476191,0.5725190839694656,0.8241758241758241,0.6756756756756757,0.42857142857142855,0.7241379310344828,75,42,56,16,fixed_0.40,full_val
0.4,0.5333333333333333,0.49333333333333335,0.7708333333333334,0.6016260162601627,0.3333333333333333,0.6333333333333333,37,19,38,11,fixed_0.40,complete_position_val
0.5,0.6666666666666666,0.6666666666666666,0.6153846153846154,0.64,0.7142857142857143,0.6666666666666666,56,70,28,35,fixed_0.50,full_val
0.5,0.5904761904761905,0.5609756097560976,0.4791666666666667,0.5168539325842697,0.6842105263157895,0.609375,23,39,18,25,fixed_0.50,complete_position_val
0.6,0.6613756613756614,0.7288135593220338,0.4725274725274725,0.5733333333333334,0.8367346938775511,0.6307692307692307,43,82,16,48,fixed_0.60,full_val
0.6,0.580952380952381,0.5833333333333334,0.2916666666666667,0.3888888888888889,0.8245614035087719,0.5802469135802469,14,47,10,34,fixed_0.60,complete_position_val
0.7,0.6613756613756614,0.8,0.3956043956043956,0.5294117647058824,0.9081632653061225,0.6180555555555556,36,89,9,55,fixed_0.70,full_val
0.7,0.6190476190476191,0.75,0.25,0.375,0.9298245614035088,0.5955056179775281,12,53,4,36,fixed_0.70,complete_position_val
0.8,0.6243386243386243,0.8333333333333334,0.27472527472527475,0.4132231404958678,0.9489795918367347,0.5849056603773585,25,93,5,66,fixed_0.80,full_val
0.8,0.6190476190476191,0.9,0.1875,0.3103448275862069,0.9824561403508771,0.5894736842105263,9,56,1,39,fixed_0.80,complete_position_val
