epoch,loss,selection_mode,score,is_best,threshold,accuracy,abnormal_precision,abnormal_recall,abnormal_f1,specificity,npv,tp,tn,fp,fn,triage_direct_tp,triage_uncertain_abnormal,triage_unsafe_fn,triage_direct_fp,triage_uncertain_normal,triage_tn,triage_abnormal_total,triage_normal_total,triage_uncertain_total,triage_abnormal_decisions,triage_normal_decisions,triage_safety_recall,triage_direct_recall,triage_direct_fp_rate,triage_normal_clear_rate,triage_coverage,triage_direct_precision,triage_low_threshold,triage_high_threshold,triage_score,roc_auc,pr_auc,target_recall,max_fn,is_final_best
1,0.8240013273935469,triage_fn_fp,"[1, 0, 0, -98, 0.0, 0.0, 0.5615608880915004, 0.5580205281086251]",True,0.06,0.0,0.0,1.0,0.6472727272727272,0.0,0.6,91,0,0,0,0,91,0,0,98,0,91,98,189,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.06,0.3,"[1, 0, 0, -98, 0.0, 0.0]",0.5615608880915004,0.5580205281086251,0.96,4,False
2,0.8083537769696069,triage_fn_fp,"[1, 0, 0, -98, 0.0, 0.0, 0.5590939672572326, 0.5567651115844658]",False,0.06,0.0,0.0,1.0,0.65,0.0,0.0,91,0,0,0,0,91,0,0,98,0,91,98,189,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.06,0.3,"[1, 0, 0, -98, 0.0, 0.0]",0.5590939672572326,0.5567651115844658,0.96,4,False
3,0.8084831852761526,triage_fn_fp,"[1, 0, 0, -98, 0.0, 0.0, 0.5904911415115497, 0.6034718925899842]",True,0.06,0.0,0.0,1.0,0.6545454545454545,0.0,0.8,91,0,0,0,0,91,0,0,98,0,91,98,189,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.06,0.48000000000000015,"[1, 0, 0, -98, 0.0, 0.0]",0.5904911415115497,0.6034718925899842,0.96,4,False
4,0.7966037061479356,triage_fn_fp,"[1, 0, 0, -98, 0.0, 0.0, 0.6237945727741646, 0.6154709713778103]",True,0.06,0.0,0.0,1.0,0.6425992779783394,0.0,0.3333333333333333,91,0,0,0,0,91,0,0,98,0,91,98,189,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.06,0.3,"[1, 0, 0, -98, 0.0, 0.0]",0.6237945727741646,0.6154709713778103,0.96,4,False
5,0.7909523556156765,triage_fn_fp,"[1, 0, 0, -98, 0.0, 0.0, 0.6381475667189953, 0.6365642843945521]",True,0.06,0.0,0.0,1.0,0.6498194945848376,0.0,0.6666666666666666,91,0,0,0,0,91,0,0,98,0,91,98,189,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.06,0.6400000000000003,"[1, 0, 0, -98, 0.0, 0.0]",0.6381475667189953,0.6365642843945521,0.96,4,False
6,0.8131403483095623,triage_fn_fp,"[1, 0, 0, -98, 0.0, 0.0, 0.6547432159677058, 0.6565773367092859]",True,0.06,0.0,0.0,1.0,0.6474820143884892,0.0,0.5,91,0,0,0,0,91,0,0,98,0,91,98,189,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.06,0.5800000000000003,"[1, 0, 0, -98, 0.0, 0.0]",0.6547432159677058,0.6565773367092859,0.96,4,False
7,0.7944807509581248,triage_fn_fp,"[1, 0, 0, -98, 1.0, 0.031746031746031744, 0.6641623682440009, 0.6349609704146633]",True,0.06,0.031746031746031744,1.0,1.0,0.6567164179104478,0.0,0.75,91,0,0,0,6,85,0,0,98,0,91,98,183,6,0,1.0,0.06593406593406594,0.0,0.0,0.031746031746031744,1.0,0.06,0.5400000000000003,"[1, 0, 0, -98, 1.0, 0.031746031746031744]",0.6641623682440009,0.6349609704146633,0.96,4,False
8,0.7914452330460624,triage_fn_fp,"[1, 0, 0, -98, 1.0, 0.037037037037037035, 0.6651715631307468, 0.6642982067350052]",True,0.06,0.037037037037037035,1.0,1.0,0.6641509433962264,0.0,0.8,91,0,0,0,7,84,0,0,98,0,91,98,182,7,0,1.0,0.07692307692307693,0.0,0.0,0.037037037037037035,1.0,0.06,0.6400000000000003,"[1, 0, 0, -98, 1.0, 0.037037037037037035]",0.6651715631307468,0.6642982067350052,0.96,4,False
9,0.7871446093869587,triage_fn_fp,"[1, 0, 0, -98, 1.0, 0.07407407407407407, 0.6687598116169545, 0.6505391306522259]",True,0.06,0.07407407407407407,1.0,1.0,0.6742424242424242,0.0,0.875,91,0,0,0,14,77,0,0,98,0,91,98,175,14,0,1.0,0.15384615384615385,0.0,0.0,0.07407407407407407,1.0,0.06,0.7800000000000005,"[1, 0, 0, -98, 1.0, 0.07407407407407407]",0.6687598116169545,0.6505391306522259,0.96,4,False
10,0.7792947086549941,triage_fn_fp,"[1, 0, 0, -98, 1.0, 0.042328042328042326, 0.6464453913433506, 0.6685485828095729]",False,0.06,0.042328042328042326,1.0,1.0,0.6666666666666666,0.0,0.9,91,0,0,0,8,83,0,0,98,0,91,98,181,8,0,1.0,0.08791208791208792,0.0,0.0,0.042328042328042326,1.0,0.06,0.46000000000000013,"[1, 0, 0, -98, 1.0, 0.042328042328042326]",0.6464453913433506,0.6685485828095729,0.96,4,False
11,0.7786359394353534,triage_fn_fp,"[1, 0, 0, -98, 1.0, 0.05291005291005291, 0.663377438887643, 0.6745807611634587]",False,0.06,0.05291005291005291,1.0,1.0,0.6692015209125475,0.0,0.8235294117647058,91,0,0,0,10,81,0,0,98,0,91,98,179,10,0,1.0,0.10989010989010989,0.0,0.0,0.05291005291005291,1.0,0.06,0.5200000000000002,"[1, 0, 0, -98, 1.0, 0.05291005291005291]",0.663377438887643,0.6745807611634587,0.96,4,False
12,0.7738469072750637,triage_fn_fp,"[1, 0, 0, -98, 1.0, 0.042328042328042326, 0.6435299394483068, 0.6596294052703678]",False,0.06,0.042328042328042326,1.0,1.0,0.6768060836501901,0.0,0.8823529411764706,91,0,0,0,8,83,0,0,98,0,91,98,181,8,0,1.0,0.08791208791208792,0.0,0.0,0.042328042328042326,1.0,0.06,0.5400000000000003,"[1, 0, 0, -98, 1.0, 0.042328042328042326]",0.6435299394483068,0.6596294052703678,0.96,4,False
13,0.7571179734336005,triage_fn_fp,"[1, 0, 0, -98, 1.0, 0.0582010582010582, 0.6604619869925992, 0.6735742632657664]",False,0.06,0.0582010582010582,1.0,1.0,0.6716981132075471,0.0,0.8666666666666667,91,0,0,0,11,80,0,0,98,0,91,98,178,11,0,1.0,0.12087912087912088,0.0,0.0,0.0582010582010582,1.0,0.06,0.7400000000000004,"[1, 0, 0, -98, 1.0, 0.0582010582010582]",0.6604619869925992,0.6735742632657664,0.96,4,False
14,0.7606469437716499,triage_fn_fp,"[1, -2, 0, -96, 0.875, 0.08465608465608465, 0.6353442475891455, 0.64902447087275]",False,0.06,0.07407407407407407,0.875,1.0,0.6567164179104478,0.0,0.75,91,0,2,0,14,77,0,2,96,0,91,98,173,16,0,1.0,0.15384615384615385,0.02040816326530612,0.0,0.08465608465608465,0.875,0.06,0.8000000000000005,"[1, -2, 0, -96, 0.875, 0.08465608465608465]",0.6353442475891455,0.64902447087275,0.96,4,False
15,0.7676272941014123,triage_fn_fp,"[1, 0, 0, -98, 1.0, 0.042328042328042326, 0.6065261269342902, 0.632003501979258]",False,0.06,0.042328042328042326,1.0,1.0,0.6691729323308271,0.0,0.8571428571428571,91,0,0,0,8,83,0,0,98,0,91,98,181,8,0,1.0,0.08791208791208792,0.0,0.0,0.042328042328042326,1.0,0.06,0.3,"[1, 0, 0, -98, 1.0, 0.042328042328042326]",0.6065261269342902,0.632003501979258,0.96,4,False
16,0.7464909359576211,triage_fn_fp,"[1, -1, 0, -97, 0.9166666666666666, 0.06349206349206349, 0.6755999102937879, 0.6749926912698467]",False,0.06,0.0582010582010582,0.9166666666666666,1.0,0.6768060836501901,0.0,0.8823529411764706,91,0,1,0,11,80,0,1,97,0,91,98,177,12,0,1.0,0.12087912087912088,0.01020408163265306,0.0,0.06349206349206349,0.9166666666666666,0.06,0.7200000000000004,"[1, -1, 0, -97, 0.9166666666666666, 0.06349206349206349]",0.6755999102937879,0.6749926912698467,0.96,4,False
17,0.7520278384761204,triage_fn_fp,"[1, -1, 0, -97, 0.9375, 0.08465608465608465, 0.6655079614263288, 0.667373820397307]",False,0.06,0.07936507936507936,0.9375,1.0,0.6666666666666666,0.0,0.8461538461538461,91,0,1,0,15,76,0,1,97,0,91,98,173,16,0,1.0,0.16483516483516483,0.01020408163265306,0.0,0.08465608465608465,0.9375,0.06,0.7400000000000004,"[1, -1, 0, -97, 0.9375, 0.08465608465608465]",0.6655079614263288,0.667373820397307,0.96,4,False
18,0.7563587687318287,triage_fn_fp,"[1, 0, 0, -98, 1.0, 0.08465608465608465, 0.7119309262166406, 0.7026529290301902]",True,0.06,0.08465608465608465,1.0,1.0,0.689922480620155,0.0,0.9090909090909091,91,0,0,0,16,75,0,0,98,0,91,98,173,16,0,1.0,0.17582417582417584,0.0,0.0,0.08465608465608465,1.0,0.06,0.8400000000000005,"[1, 0, 0, -98, 1.0, 0.08465608465608465]",0.7119309262166406,0.7026529290301902,0.96,4,False
19,0.7680835283937908,triage_fn_fp,"[1, -1, 0, -97, 0.9565217391304348, 0.12169312169312169, 0.7163041040592061, 0.7238054792388429]",False,0.06,0.1164021164021164,0.9565217391304348,1.0,0.6926070038910506,0.0,0.9130434782608695,91,0,1,0,22,69,0,1,97,0,91,98,166,23,0,1.0,0.24175824175824176,0.01020408163265306,0.0,0.12169312169312169,0.9565217391304348,0.06,0.6800000000000004,"[1, -1, 0, -97, 0.9565217391304348, 0.12169312169312169]",0.7163041040592061,0.7238054792388429,0.96,4,False
20,0.7663602270777263,triage_fn_fp,"[1, 0, 0, -98, 1.0, 0.07407407407407407, 0.674030051581072, 0.6779805697799999]",False,0.06,0.07407407407407407,1.0,1.0,0.676923076923077,0.0,0.85,91,0,0,0,14,77,0,0,98,0,91,98,175,14,0,1.0,0.15384615384615385,0.0,0.0,0.07407407407407407,1.0,0.06,0.8000000000000005,"[1, 0, 0, -98, 1.0, 0.07407407407407407]",0.674030051581072,0.6779805697799999,0.96,4,False
21,0.7367333232883423,triage_fn_fp,"[1, -3, 0, -95, 0.8571428571428571, 0.1111111111111111, 0.6929804888988563, 0.6960561461818258]",False,0.06,0.09523809523809523,0.8571428571428571,1.0,0.6591760299625468,0.0,0.7692307692307693,91,0,3,0,18,73,0,3,95,0,91,98,168,21,0,1.0,0.1978021978021978,0.030612244897959183,0.0,0.1111111111111111,0.8571428571428571,0.06,0.8200000000000005,"[1, -3, 0, -95, 0.8571428571428571, 0.1111111111111111]",0.6929804888988563,0.6960561461818258,0.96,4,False
22,0.7433128884387394,triage_fn_fp,"[1, -1, 0, -96, 0.9285714285714286, 0.07936507936507936, 0.6361291769455034, 0.6559407185853874]",False,0.1,0.07407407407407407,0.9285714285714286,1.0,0.6567164179104478,0.01020408163265306,0.75,91,1,1,0,13,78,0,1,96,1,91,98,174,14,1,1.0,0.14285714285714285,0.01020408163265306,0.01020408163265306,0.07936507936507936,0.9285714285714286,0.1,0.8200000000000005,"[1, -1, 0, -96, 0.9285714285714286, 0.07936507936507936]",0.6361291769455034,0.6559407185853874,0.96,4,False
23,0.7332991297755923,triage_fn_fp,"[1, -2, 0, -96, 0.9047619047619048, 0.1111111111111111, 0.696793002915452, 0.7022196876961679]",False,0.06,0.10052910052910052,0.9047619047619048,1.0,0.6716981132075471,0.0,0.8666666666666667,91,0,2,0,19,72,0,2,96,0,91,98,168,21,0,1.0,0.2087912087912088,0.02040816326530612,0.0,0.1111111111111111,0.9047619047619048,0.06,0.8400000000000005,"[1, -2, 0, -96, 0.9047619047619048, 0.1111111111111111]",0.696793002915452,0.7022196876961679,0.96,4,False
24,0.7390863192932946,triage_fn_fp,"[1, -5, 0, -93, 0.8076923076923077, 0.13756613756613756, 0.6805337519623234, 0.6807490059074283]",False,0.06,0.1111111111111111,0.8076923076923077,1.0,0.6742424242424242,0.0,0.875,91,0,5,0,21,70,0,5,93,0,91,98,163,26,0,1.0,0.23076923076923078,0.05102040816326531,0.0,0.13756613756613756,0.8076923076923077,0.06,0.8400000000000005,"[1, -5, 0, -93, 0.8076923076923077, 0.13756613756613756]",0.6805337519623234,0.6807490059074283,0.96,4,False
25,0.7224602564459756,triage_fn_fp,"[1, -5, 0, -93, 0.8333333333333334, 0.15873015873015872, 0.6916348957165285, 0.6948237965172464]",False,0.06,0.13227513227513227,0.8333333333333334,1.0,0.6666666666666666,0.0,0.8125,91,0,5,0,25,66,0,5,93,0,91,98,159,30,0,1.0,0.27472527472527475,0.05102040816326531,0.0,0.15873015873015872,0.8333333333333334,0.06,0.8400000000000005,"[1, -5, 0, -93, 0.8333333333333334, 0.15873015873015872]",0.6916348957165285,0.6948237965172464,0.96,4,False
26,0.7310970931772202,triage_fn_fp,"[1, 0, 0, -98, 1.0, 0.06349206349206349, 0.6795245570755776, 0.6901297235878996]",False,0.06,0.06349206349206349,1.0,1.0,0.6793893129770993,0.0,0.8888888888888888,91,0,0,0,12,79,0,0,98,0,91,98,177,12,0,1.0,0.13186813186813187,0.0,0.0,0.06349206349206349,1.0,0.06,0.8400000000000005,"[1, 0, 0, -98, 1.0, 0.06349206349206349]",0.6795245570755776,0.6901297235878996,0.96,4,False
27,0.7435435778091825,triage_fn_fp,"[1, 0, 0, -97, 1.0, 0.07936507936507936, 0.6461089930477686, 0.6719117912379109]",True,0.12000000000000001,0.07936507936507936,1.0,1.0,0.6717557251908397,0.01020408163265306,0.8333333333333334,91,1,0,0,14,77,0,0,97,1,91,98,174,14,1,1.0,0.15384615384615385,0.0,0.01020408163265306,0.07936507936507936,1.0,0.12000000000000001,0.6800000000000004,"[1, 0, 0, -97, 1.0, 0.07936507936507936]",0.6461089930477686,0.6719117912379109,0.96,4,False
28,0.7238058081221959,triage_fn_fp,"[1, 0, 0, -97, 1.0, 0.07936507936507936, 0.6577708006279435, 0.6803012368223251]",True,0.1,0.07936507936507936,1.0,1.0,0.6692015209125475,0.01020408163265306,0.8235294117647058,91,1,0,0,14,77,0,0,97,1,91,98,174,14,1,1.0,0.15384615384615385,0.0,0.01020408163265306,0.07936507936507936,1.0,0.1,0.4200000000000001,"[1, 0, 0, -97, 1.0, 0.07936507936507936]",0.6577708006279435,0.6803012368223251,0.96,4,False
29,0.7611605791108949,triage_fn_fp,"[1, -2, -1, -90, 0.9393939393939394, 0.21164021164021163, 0.7045301637138373, 0.7133227185628277]",False,0.08,0.19576719576719576,0.9393939393939394,0.989010989010989,0.6875,0.061224489795918366,0.875,90,6,2,1,31,59,1,2,90,6,91,98,149,33,7,0.989010989010989,0.34065934065934067,0.02040816326530612,0.061224489795918366,0.21164021164021163,0.9393939393939394,0.08,0.8000000000000005,"[1, -2, -1, -90, 0.9393939393939394, 0.21164021164021163]",0.7045301637138373,0.7133227185628277,0.96,4,False
30,0.7598327871352907,triage_fn_fp,"[1, 0, -1, -92, 1.0, 0.10582010582010581, 0.63041040592061, 0.6445980156592321]",False,0.08,0.10052910052910052,1.0,0.989010989010989,0.6692015209125475,0.061224489795918366,0.8235294117647058,90,6,0,1,13,77,1,0,92,6,91,98,169,13,7,0.989010989010989,0.14285714285714285,0.0,0.061224489795918366,0.10582010582010581,1.0,0.08,0.3,"[1, 0, -1, -92, 1.0, 0.10582010582010581]",0.63041040592061,0.6445980156592321,0.96,4,False
31,0.7333801223172082,triage_fn_fp,"[1, -1, 0, -97, 0.9333333333333333, 0.07936507936507936, 0.6600134559318233, 0.6798979638686106]",False,0.06,0.07407407407407407,0.9333333333333333,1.0,0.6819923371647509,0.0,0.8947368421052632,91,0,1,0,14,77,0,1,97,0,91,98,174,15,0,1.0,0.15384615384615385,0.01020408163265306,0.0,0.07936507936507936,0.9333333333333333,0.06,0.8000000000000005,"[1, -1, 0, -97, 0.9333333333333333, 0.07936507936507936]",0.6600134559318233,0.6798979638686106,0.96,4,False
