group_by,group_value,total,triage_direct_tp,triage_uncertain_abnormal,triage_unsafe_fn,triage_direct_fp,triage_uncertain_normal,triage_tn,triage_abnormal_total,triage_normal_total,triage_uncertain_total,triage_abnormal_decisions,triage_normal_decisions,triage_safety_recall,triage_direct_recall,triage_direct_fp_rate,triage_normal_clear_rate,triage_coverage,triage_direct_precision
outcome,Abnormal,91,16,75,0,0,0,0,91,0,75,16,0,1.0,0.17582417582417584,0.0,0.0,0.17582417582417584,1.0
outcome,Normal,98,0,0,0,0,93,5,0,98,93,0,5,0.0,0.0,0.0,0.05102040816326531,0.05102040816326531,0.0
murmur,Absent,145,0,54,0,0,86,5,54,91,140,0,5,1.0,0.0,0.0,0.054945054945054944,0.034482758620689655,0.0
murmur,Present,32,15,13,0,0,4,0,28,4,17,15,0,1.0,0.5357142857142857,0.0,0.0,0.46875,1.0
murmur,Unknown,12,1,8,0,0,3,0,9,3,11,1,0,1.0,0.1111111111111111,0.0,0.0,0.08333333333333333,1.0
position_count,1,17,0,8,0,0,9,0,8,9,17,0,0,1.0,0.0,0.0,0.0,0.0,0.0
position_count,2,38,6,19,0,0,11,2,25,13,30,6,2,1.0,0.24,0.0,0.15384615384615385,0.21052631578947367,1.0
position_count,3,29,1,9,0,0,16,3,10,19,25,1,3,1.0,0.1,0.0,0.15789473684210525,0.13793103448275862,1.0
position_count,4,105,9,39,0,0,57,0,48,57,96,9,0,1.0,0.1875,0.0,0.0,0.08571428571428572,1.0
has_all_positions,False,84,7,36,0,0,36,5,43,41,72,7,5,1.0,0.16279069767441862,0.0,0.12195121951219512,0.14285714285714285,1.0
has_all_positions,True,105,9,39,0,0,57,0,48,57,96,9,0,1.0,0.1875,0.0,0.0,0.08571428571428572,1.0
Age,Adolescent,13,1,5,0,0,7,0,6,7,12,1,0,1.0,0.16666666666666666,0.0,0.0,0.07692307692307693,1.0
Age,Child,122,10,47,0,0,65,0,57,65,112,10,0,1.0,0.17543859649122806,0.0,0.0,0.08196721311475409,1.0
Age,Infant,33,5,18,0,0,10,0,23,10,28,5,0,1.0,0.21739130434782608,0.0,0.0,0.15151515151515152,1.0
Age,Neonate,1,0,0,0,0,1,0,0,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Age,nan,20,0,5,0,0,10,5,5,15,15,0,5,1.0,0.0,0.0,0.3333333333333333,0.25,0.0
Sex,Female,104,8,42,0,0,49,5,50,54,91,8,5,1.0,0.16,0.0,0.09259259259259259,0.125,1.0
Sex,Male,85,8,33,0,0,44,0,41,44,77,8,0,1.0,0.1951219512195122,0.0,0.0,0.09411764705882353,1.0
