group_by,group_value,total,abnormal_total,normal_total,TP,TN,FP,FN,fp_rate_among_normals,fn_rate_among_abnormals,mean_prob_abnormal,median_prob_abnormal
Age,Child,122,57,65,53,10,55,4,0.8461538461538461,0.07017543859649122,0.6624678649374696,0.65280681848526
Age,Infant,33,23,10,22,1,9,1,0.9,0.043478260869565216,0.6823066834247473,0.6655064821243286
Age,nan,20,5,15,0,14,1,5,0.06666666666666667,1.0,0.1964737668633461,0.19703259319067
Age,Adolescent,13,6,7,6,3,4,0,0.5714285714285714,0.0,0.650047283906203,0.6694603562355042
Age,Neonate,1,0,1,0,0,1,0,1.0,0.0,0.6569989919662476,0.6569989919662476
Height_missing,present,155,77,78,72,11,67,5,0.8589743589743589,0.06493506493506493,0.6681758032691094,0.6616545915603638
Height_missing,missing,34,14,20,9,17,3,5,0.15,0.35714285714285715,0.37667763496146484,0.2477690801024437
Pregnancy status,False,170,86,84,81,14,70,5,0.8333333333333334,0.05813953488372093,0.6654611831202226,0.6585330069065094
Pregnancy status,True,19,5,14,0,14,0,5,0.0,1.0,0.1708362086823112,0.19294311106204987
Sex,Female,104,50,54,42,23,31,8,0.5740740740740741,0.16,0.5690078405806651,0.6313909888267517
Sex,Male,85,41,44,39,5,39,2,0.8863636363636364,0.04878048780487805,0.6729114550001482,0.6655064821243286
Weight_missing,present,160,80,80,75,11,69,5,0.8625,0.0625,0.6685698954388499,0.6617533266544342
Weight_missing,missing,29,11,18,6,17,1,5,0.05555555555555555,0.45454545454545453,0.32424502845468195,0.2155068814754486
available_positions,"AV,MV,PV,TV",105,48,57,42,6,51,6,0.8947368421052632,0.125,0.6470084782157626,0.6534039974212646
available_positions,"AV,MV",25,19,6,19,0,6,0,1.0,0.0,0.7109592509269714,0.726157546043396
available_positions,"MV,PV,TV",14,3,11,3,7,4,0,0.36363636363636365,0.0,0.49667948697294506,0.5722173452377319
available_positions,MV,11,6,5,6,0,5,0,1.0,0.0,0.6449544646523215,0.6316621899604797
available_positions,"AV,PV,TV",10,3,7,1,6,1,2,0.14285714285714285,0.6666666666666666,0.3651829205453396,0.5020597726106644
available_positions,"AV,PV",7,2,5,1,3,2,1,0.4,0.5,0.4476867052061217,0.5670546293258667
available_positions,"AV,MV,PV",4,3,1,3,0,1,0,1.0,0.0,0.6974743604660034,0.6876788437366486
available_positions,AV,3,1,2,1,2,0,0,0.0,0.0,0.5821876724561056,0.5610104203224182
available_positions,PV,3,1,2,1,2,0,0,0.0,0.0,0.5646091898282369,0.5622312426567078
available_positions,"PV,TV",3,2,1,1,1,0,1,0.0,0.5,0.44983401894569397,0.5252013802528381
available_positions,"MV,PV",2,1,1,1,1,0,0,0.0,0.0,0.4384490102529526,0.4384490102529526
available_positions,"AV,MV,TV",1,1,0,1,0,0,0,0.0,0.0,0.6403643488883972,0.6403643488883972
available_positions,"MV,TV",1,1,0,1,0,0,0,0.0,0.0,0.7337170839309692,0.7337170839309692
has_all_positions,True,105,48,57,42,6,51,6,0.8947368421052632,0.125,0.6470084782157626,0.6534039974212646
has_all_positions,False,84,43,41,39,22,19,4,0.4634146341463415,0.09302325581395349,0.5766476057469845,0.6359981894493103
murmur,Absent,145,54,91,47,25,66,7,0.7252747252747253,0.12962962962962962,0.5931822969995696,0.638343095779419
murmur,Present,32,28,4,26,1,3,2,0.75,0.07142857142857142,0.7057962901890278,0.6798103153705597
murmur,Unknown,12,9,3,8,2,1,1,0.3333333333333333,0.1111111111111111,0.6481145620346069,0.6244471669197083
outcome,Normal,98,0,98,0,28,70,0,0.7142857142857143,0.0,0.5790947859688681,0.6331283450126648
outcome,Abnormal,91,91,0,81,0,0,10,0.0,0.10989010989010989,0.6551978029720076,0.6674351096153259
position_count,4,105,48,57,42,6,51,6,0.8947368421052632,0.125,0.6470084782157626,0.6534039974212646
position_count,2,38,25,13,23,5,8,2,0.6153846153846154,0.08,0.6281027729181867,0.6729844510555267
position_count,3,29,10,19,8,13,6,2,0.3157894736842105,0.2,0.4839863384078289,0.5675340890884399
position_count,1,17,8,9,8,4,5,0,0.5555555555555556,0.0,0.6196993940016803,0.6245317459106445
top_attention_position,TV,62,25,37,21,12,25,4,0.6756756756756757,0.16,0.5970873109275295,0.660839170217514
top_attention_position,MV,58,32,26,28,2,24,4,0.9230769230769231,0.125,0.6306073580836428,0.6571193635463715
top_attention_position,AV,42,19,23,18,7,16,1,0.6956521739130435,0.05263157894736842,0.618054785543964,0.6389155685901642
top_attention_position,PV,27,15,12,14,7,5,1,0.4166666666666667,0.06666666666666667,0.6230128909702655,0.6078764200210571
